article_id,url,title,description
20250611201400524,https://tuoitre.vn/thuoc-khang-sinh-dieu-tri-sot-ung-thu-hiv-bi-lam-gia-nhieu-co-quan-chuc-nang-noi-gi-20250611201400524.htm,"Thuốc kháng sinh, điều trị sốt, ung thư, HIV... bị làm giả nhiều, cơ quan chức năng nói gì?","Thuốc giả, thực phẩm bẩn vẫn tràn lan, gian thương buôn bán lộng hành. Trong khi đó lực lượng chức năng lại bị ""bó tay buộc chân"" với nhiều quy định pháp lý."
20250609180740061,https://tuoitre.vn/tp-hcm-tiep-tuc-day-manh-chong-hang-gia-sua-gia-thuoc-gia-20250609180740061.htm,"TP.HCM tiếp tục đẩy mạnh chống hàng giả, sữa giả, thuốc giả","UBND TP.HCM yêu cầu khẩn trương lập danh sách các điểm cần đẩy mạnh ngăn chặn, đẩy lùi tình trạng buôn lậu, gian lận thương mại, hàng giả, sữa giả, thuốc giả, thực phẩm chức năng giả, thực phẩm không chất lượng."
20250608101613289,https://tuoitre.vn/phai-lam-cho-ra-le-vu-hang-ngan-hop-thuc-pham-chuc-nang-do-dong-o-vung-ven-tp-hcm-nhu-do-rac-20250608101613289.htm,Phải làm cho ra lẽ vụ hàng ngàn hộp thực phẩm chức năng đổ đống ở vùng ven TP.HCM như 'đổ rác',"Trước thực trạng hàng ngàn hộp thực phẩm chức năng còn hạn sử dụng bị đổ đống ở vùng ven TP.HCM, bạn đọc cho rằng cần truy đến cùng, xử lý nghiêm theo quy định."
20250608001229883,https://tuoitre.vn/tin-tuc-sang-8-6-phat-hien-con-sat-trung-gia-lam-nguoi-benh-nhiem-doc-2-000-ti-ho-tro-nong-dan-20250608001229883.htm,Tin tức sáng 8-6: Phát hiện cồn sát trùng giả làm người bệnh nhiễm độc; 2.000 tỉ hỗ trợ nông dân,"Tin tức đáng chú ý: Phát hiện cồn sát trùng giả làm người bệnh mù, nhiễm độc; 2.000 tỉ hỗ trợ nông dân thông qua Quỹ Hỗ trợ nông dân trung ương; Đẩy mạnh phân cấp, phân quyền sau sắp xếp bộ máy..."
20250607065017667,https://tuoitre.vn/3-tuan-so-y-te-tp-hcm-phat-hien-41-co-so-ban-my-pham-thuoc-kham-chua-benh-vi-pham-20250607065017667.htm,"3 tuần, Sở Y tế TP.HCM phát hiện 41 cơ sở bán mỹ phẩm, thuốc, khám chữa bệnh vi phạm","Sau 3 tuần đồng loạt triển khai đợt cao điểm đấu tranh đẩy lùi tình trạng buôn lậu, gian lận thương mại, hàng giả, Sở Y tế TP.HCM đã xử lý vi phạm 41 cơ sở kinh doanh thuốc, mỹ phẩm, khám chữa bệnh."
20250606144413463,https://tuoitre.vn/thuc-pham-chuc-nang-do-dong-tai-tp-hcm-nhieu-san-pham-cho-tre-em-nguoi-om-yeu-phu-nu-co-thai-20250606144413463.htm,"Thực phẩm chức năng đổ đống tại TP.HCM: Nhiều sản phẩm cho trẻ em, người ốm yếu, phụ nữ có thai","Liên quan đến vụ hàng nghìn hộp thực phẩm chức năng đổ đống tại vùng ven TP.HCM, đa phần những sản phẩm này còn hạn sử dụng lâu dài, dành cho trẻ em, phụ nữ có thai..."
20250606120614704,https://tuoitre.vn/xac-minh-hang-nghin-hop-thuc-pham-chuc-nang-do-dong-o-vung-ven-tp-hcm-20250606120614704.htm,Xác minh hàng nghìn hộp thực phẩm chức năng đổ đống ở vùng ven TP.HCM,"Hàng nghìn hộp thực phẩm chức năng được phát hiện đổ đống tại một bãi đất trống trên đường Nguyễn Văn Linh (huyện Bình Chánh, TP.HCM)."
2025060608365699,https://tuoitre.vn/thuc-pham-ban-thuoc-gia-toi-ac-trang-2025060608365699.htm,"Thực phẩm bẩn, thuốc giả: Tội ác trắng","Thực phẩm bẩn không đơn thuần là vấn đề vệ sinh hay gian lận thương mại. Đó là một tội ác trắng, lặng lẽ nhưng nguy hiểm, bởi nó đánh vào sức khỏe cộng đồng."
20250605154142995,https://tuoitre.vn/khoi-to-1-giam-doc-san-xuat-buon-ban-hang-gia-la-thuc-pham-chuc-nang-20250605154142995.htm,"Khởi tố 1 giám đốc sản xuất, buôn bán hàng giả là thực phẩm chức năng","Ngày 5-6, Công an tỉnh Thanh Hóa đã khởi tố vụ án, khởi tố bị can, cấm đi khỏi nơi cư trú đối với Hoàng Thị Ngọc, 37 tuổi, ở phường Bồ Đề, quận Long Biên, TP Hà Nội về tội 'sản xuất, buôn bán hàng giả là thực phẩm chức năng'."
20250605113238475,https://tuoitre.vn/thu-hoi-thuoc-nho-mat-khong-dat-tieu-chuan-chat-luong-duoc-ban-o-cho-thuoc-lon-nhat-ha-noi-20250605113238475.htm,Thu hồi thuốc nhỏ mắt không đạt tiêu chuẩn chất lượng được bán ở chợ thuốc lớn nhất Hà Nội,"Trung tâm Kiểm nghiệm thuốc, mỹ phẩm, thực phẩm TP Hà Nội vừa phát hiện lô thuốc Ofleye Drops (Ofloxacin 0,3%) không đạt tiêu chuẩn chất lượng khi kiểm nghiệm mẫu lấy tại chợ thuốc Hapuco - chợ thuốc lớn nhất Hà Nội."
20250604150406616,https://tuoitre.vn/nguoi-phat-ngon-bo-cong-an-khang-dinh-tiep-tuc-truy-quet-hang-gia-xuyen-suot-3-thang-20250604150406616.htm,Người phát ngôn Bộ Công an khẳng định tiếp tục truy quét hàng giả xuyên suốt 3 tháng,"Theo thống kê thực hiện cao điểm truy quét hàng giả từ 15-5, cơ quan chức năng đã khởi tố 36 vụ, khởi tố 119 bị can liên quan hàng giả, buôn lậu và các tội danh khác tại 24 địa phương."
20250603063613977,https://tuoitre.vn/tri-hang-gia-hay-siet-chat-quang-cao-va-minh-bach-thong-tin-20250603063613977.htm,Trị hàng giả: Hãy siết chặt quảng cáo và minh bạch thông tin,"Hàng giả không chỉ là giả về chất lượng mà còn giả về nhãn hiệu, giả về xuất xứ. Hàng kém chất lượng, hàng hóa được sản xuất không đảm bảo điều kiện bắt buộc như ISO, GMP, HACCP cũng được coi là hàng giả."
20250602224436596,https://tuoitre.vn/hang-gia-tran-lan-quang-cao-no-lap-lo-bat-chap-tinh-mang-nguoi-tieu-dung-20250602224436596.htm,"Hàng giả tràn lan, quảng cáo 'nổ', lập lờ bất chấp tính mạng người tiêu dùng","Hàng giả tràn lan trên mạng xã hội với sự tiếp tay của người có tầm ảnh hưởng (KOL), thông qua những lời quảng cáo ""nổ"". Những mặt hàng này còn len lỏi vào tận nhà thuốc và bệnh viện."
