article_id,title,url,description
4814829,'Cán bộ y tế không được quảng cáo thực phẩm chức năng',https://vnexpress.net/can-bo-y-te-khong-duoc-quang-cao-thuc-pham-chuc-nang-4814829.html,Bộ trưởng Y tế Đào Hồng Lan cho biết đã yêu cầu cán bộ y tế tuyệt đối không tham gia vào quảng cáo thực phẩm chức năng để đảm bảo uy tín của ngành.
4818471,'Thuốc thần' thực phẩm chức năng,https://vnexpress.net/thuoc-than-thuc-pham-chuc-nang-4818471.html,"Trong lần kiểm tra đột xuất một công ty ở huyện Nhà Bè năm 2019, Ban Quản lý An toàn thực phẩm TP HCM phát hiện hơn 230 thùng thực phẩm chức năng, gồm 8.000 hộp nhỏ dạng cốm, được giới thiệu là thực phẩm bảo vệ sức khỏe, đang đóng gói, chuẩn bị bán ra thị trường."
4835777,Sản xuất thuốc giả hỗ trợ điều trị bệnh xơ gan,https://vnexpress.net/san-xuat-thuoc-gia-ho-tro-dieu-tri-benh-xo-gan-4835777.html,"Hà NộiTại phòng khám đa khoa Bách Giai, nhóm nghi phạm đã dán nhãn mác cho các lọ thuốc nhập từ Trung Quốc không rõ nguồn gốc, ""biến"" thànnh thuốc Vinluta 600mg."
4839011,Hơn 20 người sản xuất tân dược giả ở TP HCM bị bắt,https://vnexpress.net/hon-20-nguoi-san-xuat-tan-duoc-gia-o-tp-hcm-bi-bat-4839011.html,"Ngô Kim Diệu, 41 tuổi, cùng vợ lập hai công ty kinh doanh dược phẩm để ngụy trang, thuê hàng chục người sản xuất lượng tân dược giả cực lớn, thu lợi nhiều tỷ đồng."
4839330,Bên trong 'lò' sản xuất hàng tấn tân dược giả ở TP HCM,https://vnexpress.net/ben-trong-lo-san-xuat-hang-tan-tan-duoc-gia-o-tp-hcm-4839330.html,"Khám xét 4 cơ sở sản xuất tân dược giả của vợ chồng Ngô Kim Diệu, công an thu giữ gần 1.200 thùng thuốc thành phẩm có nhãn mác sản xuất tại một công ty ""ma"" ở nước ngoài."
4853836,Sản xuất hàng loạt thuốc kháng sinh bằng bột năng,https://vnexpress.net/san-xuat-hang-loat-thuoc-khang-sinh-bang-bot-nang-4853836.html,"TP HCMNguyễn Xuân Cường, 49 tuổi, bị cáo buộc cùng đồng phạm sử dụng bột năng sản xuất nhiều loại thuốc chữa bệnh giả, trong đó có kháng sinh cho trẻ em, thu về 7,7 tỷ đồng."
4861327,Chủ mưu sản xuất thuốc tây giả bị phạt 19 năm tù,https://vnexpress.net/chu-muu-san-xuat-thuoc-tay-gia-bi-phat-19-nam-tu-4861327.html,"TP HCMNguyễn Xuân Cường, 49 tuổi, bị phạt 19 năm tù vì cùng đồng phạm sử dụng bột năng sản xuất nhiều loại thuốc chữa bệnh giả, trong đó có kháng sinh cho trẻ em."
4875064,Đường dây sản xuất thuốc giả 'hàng xách tay' bị phát hiện,https://vnexpress.net/duong-day-san-xuat-thuoc-gia-hang-xach-tay-bi-phat-hien-4875064.html,"Thanh HóaKhám 6 nhà kho, công an thu 10 tấn thuốc và nguyên liệu trong đường dây sản xuất thuốc giả quy mô lớn do Nguyễn Tiến Đạt cầm đầu."
4875194,Làm gì khi uống phải thuốc giả?,https://vnexpress.net/lam-gi-khi-uong-phai-thuoc-gia-4875194.html,"Cần ngưng uống ngay khi phát hiện là thuốc giả, giữ lại bao bì thuốc và đến bệnh viện khám để phát hiện sớm bất thường sức khỏe nếu có."
4875197,Thuốc giả đội lốt 'xách tay' - canh bạc với tử thần,https://vnexpress.net/thuoc-gia-doi-lot-xach-tay-canh-bac-voi-tu-than-4875197.html,"Chỉ vài thao tác trên mạng, chị Loan, 35 tuổi, ở TP HCM, dễ dàng mua một liệu trình điều trị viêm khớp được quảng cáo là ""nhập khẩu trực tiếp từ Mỹ""."
